graph_id,neato_xing,sfdp_xing,smartgd_xing,diff_gd_xing
grafo6059.41,0,0,0.0,0
grafo509.21,6,9,5.0,4
grafo11490.35,5,6,6.0,5
grafo2149.24,5,4,5.0,4
grafo8473.93,63,55,52.0,52
grafo6726.47,10,7,9.0,8
grafo1890.33,6,5,4.0,5
grafo8431.73,34,35,36.0,30
grafo2711.68,11,10,13.0,9
grafo9875.38,14,11,17.0,7
grafo1719.13,1,2,2.0,0
grafo7527.41,12,14,15.0,10
grafo3405.57,25,26,27.0,23
grafo1220.25,1,0,0.0,0
grafo2815.35,5,3,2.0,2
grafo5811.41,26,31,27.0,19
grafo10907.99,120,105,107.0,93
grafo7468.54,52,52,51.0,41
grafo2878.19,18,22,24.0,14
grafo3472.92,70,50,66.0,57
grafo7483.73,45,40,46.0,38
grafo5441.43,38,30,29.0,27
grafo291.20,0,0,0.0,0
grafo6921.43,15,16,12.0,11
grafo5287.61,57,64,66.0,49
grafo11479.37,8,5,6.0,7
grafo4063.45,56,56,52.0,46
grafo5349.39,15,20,18.0,13
grafo10975.96,90,95,85.0,72
grafo5476.43,8,8,8.0,8
grafo4549.60,29,21,28.0,24
grafo11029.32,1,1,0.0,1
grafo9661.86,149,147,147.0,114
grafo8532.83,59,55,60.0,46
grafo1383.51,30,27,32.0,25
grafo948.15,1,1,1.0,1
grafo6091.33,0,0,0.0,0
grafo1879.21,8,11,9.0,6
grafo457.12,0,0,0.0,0
grafo6100.34,14,15,10.0,11
grafo1647.30,3,4,4.0,2
grafo9088.68,48,58,57.0,38
grafo7261.42,41,40,41.0,33
grafo384.19,5,4,3.0,3
grafo10678.98,48,42,49.0,39
grafo2223.38,3,3,4.0,3
grafo10048.32,2,2,2.0,2
grafo5465.40,7,7,6.0,7
grafo8487.87,67,62,53.0,49
grafo1882.19,1,3,1.0,1
grafo5124.36,4,1,4.0,2
grafo1764.20,4,3,2.0,3
grafo3376.61,53,51,49.0,47
grafo5387.34,3,2,2.0,2
grafo7063.44,9,8,5.0,9
grafo1815.34,0,0,1.0,0
grafo4375.53,7,6,6.0,6
grafo11388.40,9,9,9.0,7
grafo5655.35,6,10,6.0,3
grafo7702.48,48,36,54.0,38
grafo4038.40,22,16,17.0,16
grafo3141.42,11,12,11.0,7
grafo2927.13,0,0,0.0,0
grafo8624.85,62,67,67.0,54
grafo2765.18,0,2,1.0,0
grafo1576.29,1,6,1.0,1
grafo574.12,3,3,4.0,1
grafo11238.37,4,4,7.0,4
grafo10263.97,53,56,55.0,38
grafo1777.23,5,5,6.0,2
grafo7447.98,75,76,75.0,56
grafo2925.36,0,0,0.0,0
grafo662.14,0,0,0.0,0
grafo9594.64,37,37,38.0,29
grafo1464.46,2,11,2.0,2
grafo7679.41,13,11,17.0,11
grafo10422.97,120,113,105.0,90
grafo9004.85,91,75,81.0,66
grafo6760.54,10,12,11.0,10
grafo543.12,0,0,0.0,0
grafo8139.83,90,68,68.0,71
grafo4620.60,19,9,10.0,15
grafo5290.38,10,8,9.0,5
grafo126.22,6,12,4.0,4
grafo3748.54,33,28,39.0,23
grafo8464.73,78,59,68.0,61
grafo3649.38,16,19,17.0,13
grafo5742.39,18,20,25.0,15
grafo6656.38,0,3,0.0,0
grafo7948.90,80,90,80.0,61
grafo8181.72,63,48,56.0,47
grafo8322.70,74,67,77.0,59
grafo7099.45,10,13,13.0,8
grafo10039.98,73,72,72.0,57
grafo1560.49,8,7,7.0,8
grafo1909.13,1,1,1.0,0
grafo5871.39,7,17,8.0,5
grafo319.26,0,0,0.0,0
grafo9312.83,56,51,39.0,42
grafo10965.99,80,62,65.0,65
grafo9350.63,36,35,35.0,26
grafo1860.20,1,1,1.0,0
grafo8992.66,69,64,65.0,48
grafo3577.40,8,8,8.0,5
grafo11058.98,107,107,108.0,82
grafo2502.15,3,3,3.0,2
grafo6539.47,26,26,30.0,23
grafo8593.87,93,89,85.0,75
grafo8130.79,111,112,117.0,90
grafo6244.39,13,21,22.0,11
grafo1610.48,23,18,20.0,17
grafo6138.45,17,14,23.0,12
grafo11259.92,32,22,29.0,22
grafo10289.99,67,61,64.0,56
grafo432.19,0,1,0.0,0
grafo4893.51,9,11,8.0,6
grafo9896.38,12,12,17.0,8
grafo3688.54,34,22,25.0,26
grafo3049.20,1,1,1.0,0
grafo1585.26,6,6,8.0,6
grafo10505.39,13,16,14.0,9
grafo4428.64,55,53,45.0,43
grafo6649.56,22,25,22.0,16
grafo8440.84,92,89,86.0,72
grafo5367.38,4,3,4.0,4
grafo7446.45,12,5,9.0,8
grafo11639.35,6,5,7.0,5
grafo11066.96,75,59,70.0,52
grafo6507.59,21,30,30.0,18
grafo5076.78,50,41,50.0,39
grafo10054.40,13,18,20.0,12
grafo1118.22,2,2,1.0,2
grafo247.15,1,0,0.0,0
grafo11326.35,5,3,7.0,5
grafo795.14,5,0,1.0,4
grafo3231.43,6,9,8.0,5
grafo8076.62,49,46,50.0,32
grafo2785.14,0,0,0.0,0
grafo2943.21,2,1,1.0,1
grafo5966.35,5,3,3.0,4
grafo4082.60,45,44,43.0,36
grafo11198.98,103,96,107.0,91
grafo5739.81,75,85,67.0,58
grafo11155.99,73,66,78.0,59
grafo4806.49,9,9,10.0,7
grafo10658.35,5,7,5.0,4
grafo668.16,0,0,0.0,0
grafo9982.38,11,12,14.0,9
grafo727.13,3,2,1.0,2
grafo10338.33,2,1,2.0,1
grafo3661.46,5,5,4.0,4
grafo10615.40,6,3,6.0,3
grafo5668.37,8,1,2.0,7
grafo919.12,2,1,1.0,0
grafo5238.32,3,4,2.0,3
grafo143.29,1,1,1.0,1
grafo6970.44,11,9,9.0,11
grafo4869.50,29,33,33.0,26
grafo1595.29,1,1,0.0,1
grafo9195.66,18,37,23.0,18
grafo11567.35,0,3,1.0,0
grafo1624.44,9,4,6.0,4
grafo2407.33,5,3,3.0,3
grafo7845.81,104,97,103.0,81
grafo9904.33,0,0,0.0,0
