graph_id,n_nodes,n_edges,neato_xing,diff_gd_xing,rl_xing
9603,85,110,66,40,35
9604,82,100,18,10,10
9605,85,117,92,53,50
9606,87,116,78,50,45
9607,87,116,78,50,45
9608,83,98,18,15,12
9609,63,92,51,34,33
9610,67,94,80,41,40
9611,89,135,157,96,88
9612,79,99,33,20,19
9613,67,91,50,35,29
9614,86,112,68,50,48
9615,81,106,62,43,35
9616,63,94,79,48,38
9617,86,107,43,24,21
9618,72,94,38,21,19
9619,79,111,95,59,54
9620,71,90,27,20,17
9621,90,112,33,18,18
9622,93,124,69,44,40
9623,82,109,61,39,36
9624,65,80,9,4,3
9625,74,92,20,12,12
9626,83,115,79,32,29
9627,80,98,39,25,25
9628,81,107,57,39,31
9629,83,112,87,57,54
9630,95,128,113,58,50
9631,76,107,66,46,42
9632,68,91,44,25,20
9633,64,88,52,34,28
9634,92,124,77,40,36
9635,99,133,81,52,45
9636,76,100,33,23,18
9637,62,81,27,19,19
9638,65,90,60,22,17
9639,72,80,13,8,8
9640,68,90,39,16,13
9641,66,79,11,6,4
9642,69,91,31,22,21
9643,62,73,11,6,5
9644,73,92,17,12,8
9645,75,94,35,19,18
9646,71,86,24,12,11
9647,72,92,30,21,19
9648,64,75,19,12,10
9649,70,86,18,10,10
9650,78,107,80,47,37
9651,68,90,31,20,14
9652,63,75,11,7,7
9653,71,80,2,0,0
9654,74,94,28,21,17
9655,71,88,28,19,16
9656,68,93,69,50,48
9657,68,90,31,22,17
9658,67,79,15,8,7
9659,64,82,28,15,13
9660,71,97,47,32,31
9661,86,132,149,96,92
9662,84,119,73,43,41
9663,87,119,72,41,33
9664,80,103,68,37,31
9665,65,86,11,4,3
9666,72,112,115,84,76
9667,69,89,25,15,11
9668,67,83,24,14,12
9669,63,84,26,14,11
9670,78,100,34,17,13
9671,63,80,21,11,11
9672,70,104,99,50,47
9673,64,89,55,32,31
9674,81,116,80,60,55
9675,63,89,54,24,23
9676,89,124,112,58,49
9677,68,97,66,41,35
9678,79,106,53,32,30
9679,66,95,47,29,27
9680,83,111,60,34,27
9681,67,87,31,25,23
9682,65,101,85,49,46
9683,67,88,38,26,22
9684,69,95,56,32,28
9685,83,117,120,74,55
9686,73,103,69,36,32
9687,79,116,105,52,45
9688,67,82,19,12,11
9689,77,103,39,24,22
9690,63,88,44,20,19
9691,79,125,171,94,83
9692,80,117,75,48,47
9693,78,103,39,23,21
9694,79,109,69,42,32
9695,77,102,61,33,27
9696,62,81,40,18,17
9697,62,87,36,27,24
9698,79,104,48,26,21
9699,86,129,153,100,84
9700,68,93,41,23,22
9701,84,104,39,22,22
9702,81,109,80,48,43
9703,65,88,30,26,22
9704,80,110,63,41,39
9705,73,94,32,25,22
9706,88,122,84,57,49
9707,62,82,37,25,22
9708,70,91,38,20,20
9709,86,121,109,61,54
9710,78,111,70,49,46
9711,66,88,36,29,25
9712,67,85,24,11,11
9713,73,101,61,39,35
9714,66,90,40,25,24
9715,81,107,54,25,24
9716,64,82,21,16,11
9717,64,85,33,18,13
9718,76,93,36,15,15
9719,74,107,91,53,48
9720,68,91,43,32,32
9721,79,121,147,81,74
9722,79,110,74,41,37
9723,72,107,113,78,72
9724,64,85,69,35,29
9725,66,94,72,42,39
9726,84,124,91,61,57
9727,66,89,40,29,25
9728,70,86,13,8,6
9729,69,103,64,39,33
9730,84,118,73,45,43
9731,81,109,44,23,20
9732,64,89,44,23,22
9733,62,81,25,17,15
9734,64,84,29,19,16
9735,75,100,34,27,27
9736,75,91,17,10,6
9737,74,97,42,27,23
9738,100,141,158,103,93
9739,70,85,24,12,7
9740,73,95,41,25,21
9741,69,93,32,28,25
9742,92,125,95,55,50
9743,80,98,19,15,13
9744,80,109,93,51,43
9745,84,114,88,58,51
9746,68,82,12,9,5
9747,80,121,134,89,86
9748,67,103,54,38,35
9749,68,82,20,7,6
9750,77,103,58,33,32
9751,64,93,82,41,36
9752,78,97,31,18,16
9753,85,120,91,63,45
9754,67,96,56,30,29
9755,77,109,76,47,44
9756,68,86,37,21,21
9757,68,85,37,21,19
9758,72,101,60,38,32
9759,81,113,99,69,64
9760,64,80,23,18,18
9761,68,94,56,39,35
9762,78,106,54,40,37
9763,69,95,59,30,28
9764,74,86,13,7,7
9765,69,91,22,19,19
9766,77,106,74,41,36
9767,76,103,62,31,27
9768,75,101,58,38,33
9769,77,96,44,23,21
9770,79,106,56,36,24
9771,84,102,41,18,16
9772,83,109,70,39,35
9773,79,97,27,17,17
9774,76,97,41,33,29
9775,61,79,14,9,9
9776,86,113,80,38,31
9777,84,105,54,27,22
9778,82,108,61,41,38
9779,61,90,71,40,37
9780,77,96,31,17,13
9781,79,115,79,65,60
9782,75,96,35,25,22
9783,63,82,29,17,15
9784,85,120,82,52,48
9785,84,108,64,37,30
9786,77,106,65,40,39
9787,82,114,114,65,55
9788,80,124,143,70,67
9789,78,103,68,33,33
9790,79,103,50,25,22
9791,78,112,121,67,61
9792,80,112,86,54,42
9793,77,96,19,15,14
9794,61,91,64,33,28
9795,80,117,89,56,55
9796,73,98,60,39,33
9797,80,107,43,32,28
9798,76,91,25,19,17
9799,70,105,103,60,55
9800,72,95,49,35,26
9801,69,87,26,15,15
9802,75,114,134,79,78
9803,86,109,46,25,24
9804,84,121,95,56,49
9805,71,93,29,15,15
9806,86,109,45,28,24
9807,86,109,45,28,24
9808,72,91,29,20,18
9809,67,88,28,15,14
9810,79,101,57,37,33
9811,91,126,106,79,70
9812,88,113,65,44,39
9813,74,95,45,26,20
9814,80,104,61,27,27
9815,62,102,118,86,82
9816,69,96,60,36,30
9817,62,85,36,24,23
9818,61,88,62,34,30
9819,72,102,62,45,42
9820,62,82,54,34,27
9821,77,95,23,14,12
9822,62,89,60,40,40
9823,90,126,108,70,64
9824,85,116,78,45,43
9825,67,79,12,5,5
9826,67,100,71,42,34
9827,62,95,45,39,38
9828,72,95,36,21,14
9829,86,109,72,40,34
9830,71,83,17,8,4
9831,67,91,47,29,26
9832,92,130,109,66,52
9833,81,103,29,20,16
9834,81,103,29,21,18
9835,77,100,53,24,18
9836,62,81,47,14,12
9837,78,116,101,61,51
9838,70,101,73,49,44
9839,79,99,27,14,14
9840,82,108,62,35,28
9841,70,97,72,47,41
9842,89,123,79,51,46
9843,83,103,33,21,19
9844,82,103,46,21,16
9845,75,106,86,58,52
9846,81,111,87,60,53
9847,61,80,21,16,11
9848,76,107,86,56,54
9849,35,37,1,0,0
9850,95,128,69,43,41
9851,32,36,1,0,0
9852,38,48,10,5,5
9853,36,48,2,1,1
9854,91,134,120,90,78
9855,35,40,3,1,1
9856,37,50,10,5,5
9857,31,36,1,1,1
9858,34,45,4,1,1
9859,35,42,3,3,3
9860,40,52,16,11,8
9861,39,54,8,7,7
9862,36,51,15,9,8
9863,91,117,73,49,40
9864,91,130,122,84,74
9865,31,36,5,2,1
9866,34,34,0,0,0
9867,32,33,1,0,0
9868,37,50,14,4,4
9869,33,38,1,1,1
9870,35,43,9,3,3
9871,38,57,30,13,12
9872,32,43,24,7,7
9873,35,47,9,3,3
9874,37,46,3,2,1
9875,38,49,14,4,4
9876,33,39,4,0,0
9877,39,58,38,19,17
9878,34,39,1,1,1
9879,37,47,1,1,1
9880,32,40,4,2,2
9881,32,37,2,0,0
9882,34,39,2,1,1
9883,34,42,4,1,1
9884,33,42,2,0,0
9885,41,54,13,8,8
9886,38,43,0,0,0
9887,91,127,93,55,46
9888,33,38,4,1,1
9889,32,33,0,0,0
9890,37,44,7,2,2
9891,32,37,4,3,3
9892,34,38,0,0,0
9893,38,49,3,1,1
9894,91,128,108,72,67
9895,33,37,0,0,0
9896,38,47,12,4,2
9897,39,55,17,9,9
9898,40,50,7,5,5
9899,33,34,0,0,0
9900,39,44,7,4,3
9901,34,35,0,0,0
9902,32,36,1,1,1
9903,33,42,2,0,0
9904,33,37,0,0,0
9905,33,41,8,3,2
9906,38,51,13,8,8
9907,32,35,1,0,0
9908,91,118,59,43,42
9909,38,48,14,9,8
9910,32,37,4,2,2
9911,91,119,81,58,54
9912,31,38,5,2,1
9913,31,36,1,1,1
9914,91,120,81,55,45
9915,91,119,42,29,24
9916,31,36,5,2,2
9917,38,48,8,6,6
9918,34,34,0,0,0
9919,32,32,0,0,0
9920,38,46,6,4,3
9921,33,36,1,0,0
9922,39,50,11,8,5
9923,31,41,6,3,3
9924,39,52,13,9,8
9925,91,125,90,55,51
9926,33,34,0,0,0
9927,40,50,12,8,7
9928,95,120,57,22,19
9929,40,56,22,10,8
9930,38,49,13,3,3
9931,39,48,14,7,7
9932,91,132,121,83,77
9933,39,48,3,2,2
9934,34,40,1,1,1
9935,40,50,8,5,4
9936,90,126,132,67,63
9937,91,121,59,37,37
9938,38,48,7,1,1
9939,96,119,31,17,15
9940,39,50,8,5,5
9941,38,48,7,5,5
9942,32,37,1,0,0
9943,38,51,11,7,7
9944,41,49,6,1,1
9945,91,123,77,45,39
9946,41,48,8,2,2
9947,32,40,2,1,0
9948,91,127,90,58,45
9949,91,119,98,51,42
9950,100,128,60,40,35
9951,33,37,0,0,0
9952,34,39,2,1,1
9953,33,42,2,0,0
9954,32,34,2,0,0
9955,38,46,7,1,1
9956,32,39,6,4,4
9957,39,51,9,5,5
9958,90,118,60,40,37
9959,91,113,50,28,25
9960,32,37,4,3,2
9961,92,123,72,51,38
9962,97,124,82,38,37
9963,39,46,7,4,3
9964,34,38,0,0,0
9965,34,49,14,7,7
9966,39,47,2,2,2
9967,39,46,3,2,2
9968,38,44,4,1,1
9969,33,39,5,1,1
9970,39,46,5,1,1
9971,33,36,3,0,0
9972,41,57,31,12,12
9973,96,144,184,111,94
9974,39,55,17,10,9
9975,32,39,4,4,4
9976,34,43,10,5,5
9977,38,46,4,4,4
9978,41,53,13,8,8
9979,38,50,12,6,5
9980,32,37,5,3,3
9981,38,45,5,1,1
9982,38,49,11,4,4
9983,91,125,72,47,42
9984,96,140,120,88,79
9985,91,119,73,47,38
9986,91,122,57,43,40
9987,91,118,63,30,24
9988,38,48,10,5,5
9989,32,38,6,1,1
9990,31,35,1,1,1
9991,39,54,10,6,6
9992,40,51,6,5,5
9993,91,128,103,66,62
9994,91,121,69,44,36
9995,94,137,126,93,77
9996,32,37,2,0,0
9997,40,50,14,9,6
9998,38,47,6,3,3
9999,39,49,13,7,7
10000,38,52,11,5,4
10001,32,32,0,0,0
10002,40,45,4,3,3
10003,40,50,13,8,7
10004,32,37,4,3,3
10005,39,49,23,12,11
10006,98,136,125,73,65
10007,31,34,2,0,0
10008,42,61,39,12,11
10009,31,37,2,2,2
10010,39,50,12,7,6
10011,31,36,1,1,1
10012,40,53,13,8,8
10013,31,36,1,1,1
10014,39,52,16,11,8
10015,39,45,3,2,2
10016,39,52,19,12,10
10017,96,140,117,86,81
10018,31,36,5,1,1
10019,38,47,5,1,1
10020,38,50,15,10,10
10021,39,48,8,7,5
10022,31,36,1,1,1
10023,39,51,10,8,7
10024,32,38,5,2,2
10025,31,37,3,2,2
10026,32,38,4,2,2
10027,38,50,16,6,6
10028,96,135,116,81,70
10029,40,55,18,12,12
10030,38,52,14,8,7
10031,38,49,13,6,6
10032,38,47,12,5,4
10033,31,36,1,1,1
10034,40,54,12,10,10
10035,38,47,6,2,2
10036,31,36,1,1,1
10037,39,50,11,9,7
10038,38,46,7,4,2
10039,98,128,73,48,41
10040,32,36,0,0,0
10041,41,56,16,7,5
10042,39,53,12,7,7
10043,32,38,7,4,2
10044,38,46,9,4,4
10045,38,50,12,7,7
10046,40,50,11,6,3
10047,32,38,4,0,0
10048,32,39,2,2,1
10049,39,50,9,7,7
10050,97,133,114,74,74
10051,30,35,5,2,2
10052,32,33,0,0,0
10053,32,37,4,3,3
10054,40,51,13,10,10
10055,40,56,14,12,10
10056,31,36,1,1,1
10057,40,59,36,23,18
10058,32,40,3,3,3
10059,32,39,4,2,1
10060,90,121,51,29,24
10061,99,131,83,61,56
10062,39,44,5,1,1
10063,31,36,1,1,1
10064,39,59,25,16,15
10065,32,40,6,3,3
10066,40,53,19,8,8
10067,41,47,3,2,1
10068,31,37,1,1,1
10069,40,52,11,6,5
10070,32,37,1,1,1
10071,40,50,15,8,7
10072,97,136,104,49,45
10074,90,130,136,94,79
10075,31,37,1,1,1
10076,90,129,128,82,69
10077,31,36,1,1,1
10078,40,51,12,5,5
10079,41,57,20,13,11
10080,38,47,10,7,7
10081,34,42,7,4,4
10082,98,125,59,34,30
10083,38,51,12,8,8
10084,97,147,191,133,121
10085,35,41,5,2,2
10086,34,42,1,0,0
10087,39,52,21,8,7
10088,39,55,13,8,8
10089,37,49,12,10,7
10090,97,118,31,16,13
10091,96,130,71,48,39
10092,97,130,92,62,55
10093,98,140,129,82,79
10095,93,120,54,35,31
10096,95,130,96,51,46
10097,95,118,38,30,28
10098,95,134,108,72,63
